Code,One,Two,Three,Four
H2P1,Sun,This is not quite a favourable situation. Losses will occur by offending the authorities. He will have a diseased face. He will obtain money by industrious effort. The nature of the income depends on the nature of the sign. He will be stubborn and peevish., , 
H2P2,Mon,"He will have a large family and will enjoy much happiness. Money will also be obtained through females. The financial position will be somewhat variable, will have a fair complexion. Dhundiraja, a noted astrological writer of yore, says that when the Moon is in the 2nd house, the native will be reserved and not much sociable, squint eyed and much admired.", , 
H2P3,Mar,"Becomes quarrelsome. Good earning powers but usually miserly. Much money is accumulated. A good conversationalist. He will befriend evil-minded persons, be unsympathetic and pick up quarrels with all.", , 
H2P4,Mer,"Learned in religious and philosophical lore. Denotes gain by lecturing, business and commercial affairs. Becomes rich. Highly intelligent. He spends money on charities and moral purposes. Clever in earning money and careful and thrifty.", , 
H2P5,Jup,"Becomes a poet, a great writer, astrologer or even a scientist. Increases the chances for success. He accumulates fortune, good wife and family surroundings. He will not quarrel with others. Money will be acquired through things indicated by the signs ruled by Jupiter.", , 
H2P6,Ven,"Large family. Money usually comes readily by favours from others. Eats good food, possesses conveyances. Handsome appearance, skilful and pleasant, will marry a good wife or husband. Health and wealth are indicated in a large measure.", , 
H2P7,Sat,"Saturn, unless the second is Libra, Capricorn or Aquarius, tends to make earning an uphill struggle. Much work with little gain. Harsh speech, unsocial, sorrowful and roaming about aimlessly the person comes across many opportunities but seldom takes advantage of them. In family life he will be unhappy. He will gain by dealing with metals, storage, mines, labour, etc. He will be unpopular.", ,
H2P8,Rah,"Peevish, diseased face, friction in family life, danger to eye-sight. Financial affairs uncertain unless other favourable combinations occur. If Jupiter aspects the second house, then earnings will be good. Money is gained through friends and business.", ,
H2P9,Ket,"Bad speaker. Loss through fraud and deception. There will be liability in financial affairs. Success in spiritualism, navigation, mystical arts, hospital, etc., may be expected", ,
H3P1,Sun,"Makes the person courageous. The mind becomes resourceful and restive, successful. Bad for brothers if afflicted. Discredit through letters. Position of the Sun in the 3rd is one of the strong points in a horoscope.", ,
H3P2,Mon,"Generally changes in occupation are indicated, fond of travelling and active minded. Wife will be fair. The subject possesses.good knowledge. Rather indifferent to spiritual values of life. Subordinate to wife. Attached to children. If however the Moon is waning, cruel, miserable, impious and unscrupulous. An unfavourable position for peace of mind, if afflicted.", ,
H3P3,Mar,"This position is bad for brothers and sisters. Liability to danger and accidents by journeys. Brave, Worried on account of family misunderstandings. Reckless, pioneering and unprincipled. May be troubled with ear defects or even deafness. If the house is further afflicted, it shows thoughts of suicide or violent tendencies. If the third is Capricorn, Aries or Scorpio, the evil effects will be largely modified.", ,
H3P4,Mer,Will do good deeds for the benefit of others but he will not himself be happy. The mind is sharp. Fond of reading and study ; when once he undertakes a work he does it to the finish and will never get discouraged. Tactful and diplomatic. He will befriend businessmen and merchants. He will generally be successful in trade and speculation. A number of brothers and sisters. Independent views. Liked by friends and relatives. When Mercury is afflicted the native is inclined to nervous break-down. Gain through third house affairs., ,
H3P5,Jup,This is also a good position. The mind is optimistic and philosophical. Will have many good brothers. Becomes a miser. Does not love family and children. The body gets heated and he suffers from ill-health. He may be devoid of gratitude if Jupiter is afflicted. He does not have many friends. Does not take advantage of opportunities. Adapts himself to conventionalities., ,
H3P6,Ven,"The mental quality is good but health will be poor, lacking in vitality. He will take delight in singing, music, dancing and fine arts. Financially he will not be very successful. If Venus is afflicted, miserly, mean, poor and highly sensual. He becomes funky and interested in scandals. Brothers will be good. Not much happiness from children.", ,
H3P7,Sat,"Brave and courageous, wealthy, loss of brothers, eccentric and cruel. Sorrow through brothers ; honoured by rulers ; may become head or president of local boards, municipalities, etc. He will protect many people. One peculiarity of this combination is that success attends him only after he has suffered disappointments and reverses. The tendency of the mind is towards gloom, anxiety and misgivings. The mental condition improves with age. If Saturn is afflicted, the despondency is likely to run into mental affliction.", ,
H3P8,Rah,Brave for outward appearances. Sudden and unexpected news. The combination is generally bad for brothers. He may incur severe criticism on account of his views and ideas., ,
H3P9,Ket,Strong and adventurous but funky. Disturbs the mind with hallucinations., ,
H3LP1,Sun,headstrong and furious,"Interviews with prominent men, promotions, access to comforts and rejoicings at home.", 
H3LP2,Mon,bold in mind,"The native becomes more courageous, brothers will be born or they will become prosperous. Gain of money and landed properties.", 
H3LP3,Mar,powerful and brave,"One becomes weak so far as health is concerned, fame will increase. Finances will improve. If Mars is afflicted, death of a brother may occur.", 
